"overnight_category"	"fuel_1_general"	"year"	"capacity_mw"	"n"	"avg_size_mw"	"avg_age"	"heat_rate"	"capacity.factor.avg"	"efficiency"	"pred.heat.rate"	"fuel.price"	"adj.fuel.price"
"conventional combined cycle"	"oil"	2007	0	NA	NA	NA	NA	0.44577269282193	NA	10923.5440828835	9.24	100.933547325844
"conventional combined cycle"	"oil"	2008	0	NA	NA	NA	NA	0.415454825356318	NA	10763.620092943	15.72	169.204107861064
"conventional combined cycle"	"oil"	2009	16	1	16	0	NA	0.387778691185123	NA	10605.8514017417	10.44	110.725088634184
"conventional combined cycle"	"oil"	2010	0	NA	NA	NA	NA	0.437498003193859	NA	10450.2380092797	13.94	145.676317849358
"conventional combined cycle"	"oil"	2011	0	NA	NA	NA	NA	0.348927201821504	NA	10296.7799155568	20.3	209.024632285803
"conventional combined cycle"	"oil"	2012	0	NA	NA	NA	NA	0.333836599175148	NA	10145.4771205732	22.11	224.316499135873
"conventional combined cycle"	"oil"	2013	0	NA	NA	NA	NA	0.324682587056297	NA	9996.32962432875	21.09	210.822591777093
"conventional combined cycle"	"oil"	2014	0	NA	NA	NA	NA	0.321933110015466	NA	9849.33742682355	19.9	196.001814793789
"conventional combined cycle"	"oil"	2050	NA	NA	NA	NA	5783.05084745763	NA	0.59	5993.04727695641	NA	NA
"conventional combined cycle"	"oil"	2100	NA	NA	NA	NA	5331.25	NA	0.64	5270.98102479534	NA	NA
"conventional combustion turbine"	"kerosene"	1990	0	NA	NA	NA	14961.298245614	0.146333359763424	NA	15636.9212864626	NA	NA
"conventional combustion turbine"	"kerosene"	1991	0	NA	NA	NA	14058.5	0.144576872196441	NA	15011.5857416488	NA	NA
"conventional combustion turbine"	"kerosene"	1992	0	NA	NA	NA	14152.8113207547	0.12683586945657	NA	14435.673873052	NA	NA
"conventional combustion turbine"	"kerosene"	1993	0	NA	NA	NA	14987.7222222222	0.0806634951409343	NA	13909.1856806722	NA	NA
"conventional combustion turbine"	"kerosene"	1994	0	NA	NA	NA	13906.4363636364	0.119634831286989	NA	13432.1211645093	NA	NA
"conventional combustion turbine"	"kerosene"	1995	0	NA	NA	NA	14448.1617647059	0.139061632334294	NA	13004.4803245634	NA	NA
"conventional combustion turbine"	"kerosene"	1996	0	NA	NA	NA	NA	0.270302054042103	NA	12626.2631608345	NA	NA
"conventional combustion turbine"	"kerosene"	1997	0	NA	NA	NA	NA	0.187136879504599	NA	12297.4696733226	NA	NA
